No,prompt,affiliations,department,occupation,employment_type,lastname,firstname,employee_number,employee_number_range,status,exclude
1,A1以上D1以下の社員番号を持つ方を表示して。,,,,,,,,"[""A1"", ""D1""]",,
2,在籍かつプロジェクトベースで、広報部所属の営業の社員をリストアップしてください。,,"[""広報部""]","[""営業""]","[""プロジェクトベース""]",,,,,"[""在籍""]",
3,勤務地が池袋の営業職で、リモートワーカーの従業員を探しています。,"[""池袋""]",,"[""営業""]","[""リモートワーカー""]",,,,,,
4,C3以降の社員番号を持ち、退職済み中の営業（正社員）を検索してください。,,,"[""営業""]","[""正社員""]",,,,"[""C3"", ""-1""]","[""退職済み""]",
5,勤務地が池袋のエンジニア職で、インターンの従業員を探しています。,"[""池袋""]",,"[""エンジニア""]","[""インターン""]",,,,,,
6,社員番号が100からB2の従業員を探してください。,,,,,,,,"[""100"", ""B2""]",,
7,社員番号がB1から400の従業員を探してください。,,,,,,,,"[""B1"", ""400""]",,
8,現在IT部にいる在籍者を検索したいです。,,"[""IT部""]",,,,,,,"[""在籍""]",
9,200以降の社員番号を持ち、在籍中のデザイナー（試用社員）を検索してください。,,,"[""デザイナー""]","[""試用社員""]",,,,"[""200"", ""-1""]","[""在籍""]",
10,現在広報部にいる退職済み者を検索したいです。,,"[""広報部""]",,,,,,,"[""退職済み""]",
11,B1以降の社員番号を持ち、退職済み中の営業（リモートワーカー）を検索してください。,,,"[""営業""]","[""リモートワーカー""]",,,,"[""B1"", ""-1""]","[""退職済み""]",
12,社員番号がB1からB2の従業員を探してください。,,,,,,,,"[""B1"", ""B2""]",,
13,池袋で働く契約社員のエンジニアの人を表示してください。,"[""池袋""]",,"[""エンジニア""]","[""契約社員""]",,,,,,
14,社員番号がA1からB2の従業員を探してください。,,,,,,,,"[""A1"", ""B2""]",,
15,A1以降の社員番号を持ち、在籍中のエンジニア（プロジェクトベース）を検索してください。,,,"[""エンジニア""]","[""プロジェクトベース""]",,,,"[""A1"", ""-1""]","[""在籍""]",
16,C3以上D1以下の社員番号を持つ方を表示して。,,,,,,,,"[""C3"", ""D1""]",,
17,現在IT部にいる在籍者を検索したいです。,,"[""IT部""]",,,,,,,"[""在籍""]",
18,広報部に在籍している在籍の従業員をリストしてください。,,"[""広報部""]",,,,,,,"[""在籍""]",
19,広報部に在籍している退職済みの従業員をリストしてください。,,"[""広報部""]",,,,,,,"[""退職済み""]",
20,100以降の社員番号を持ち、離職中のエンジニア（契約社員）を検索してください。,,,"[""エンジニア""]","[""契約社員""]",,,,"[""100"", ""-1""]","[""離職""]",
21,社員コードがC3〜400の従業員を見せてください。,,,,,,,,"[""C3"", ""400""]",,
22,A1以上300以下の社員番号を持つ方を表示して。,,,,,,,,"[""A1"", ""300""]",,
23,200以上C3以下の社員番号を持つ方を表示して。,,,,,,,,"[""200"", ""C3""]",,
24,池袋で働く季節労働者のデザイナーの人を表示してください。,"[""池袋""]",,"[""デザイナー""]","[""季節労働者""]",,,,,,
25,社員コードがC3〜400の従業員を見せてください。,,,,,,,,"[""C3"", ""400""]",,
26,社員コードが200〜400の従業員を見せてください。,,,,,,,,"[""200"", ""400""]",,
27,200以降の社員番号を持ち、退職済み中の営業（契約社員）を検索してください。,,,"[""営業""]","[""契約社員""]",,,,"[""200"", ""-1""]","[""退職済み""]",
28,100以降の社員番号を持ち、退職済み中の営業（プロジェクトベース）を検索してください。,,,"[""営業""]","[""プロジェクトベース""]",,,,"[""100"", ""-1""]","[""退職済み""]",
29,池袋配属の社員の中で、広報部にいて退職済みの人を教えてください。,"[""池袋""]","[""広報部""]",,,,,,,"[""退職済み""]",
30,池袋配属の社員の中で、人事部にいて退職済みの人を教えてください。,"[""池袋""]","[""人事部""]",,,,,,,"[""退職済み""]",
31,社員番号がC3からC3の従業員を探してください。,,,,,,,"[""C3""]",,,
32,社員番号がC3から400の従業員を探してください。,,,,,,,,"[""C3"", ""400""]",,
33,C3以上400以下の社員番号を持つ方を表示して。,,,,,,,,"[""C3"", ""400""]",,
34,社員番号がC3から400の従業員を探してください。,,,,,,,,"[""C3"", ""400""]",,
35,C3以上B2以下の社員番号を持つ方を表示して。,,,,,,,,"[""C3"", ""B2""]",,
