No,prompt,affiliations,department,occupation,employment_type,lastname,firstname,employee_number,employee_number_range,status
1,A1からC3の間に退職済みの従業員を探してください。,,,,,,,,"[""A1"", ""C3""]","[""退職済み""]"
2,広報部またはIT部に所属している在籍の契約社員の従業員を検索してください。,,"[""広報部"",""IT部""]",,"[""契約社員""]",,,,,"[""在籍""]"
3,A2からB1の間に離職の従業員を探してください。,,,,,,,,"[""A2"",""B1""]","[""離職""]"
4,B1の従業員を表示してください。,,,,,,,"[""B1""]",,
5,池袋の事業所で、A1からC3までの従業員を検索してください。,"[""池袋""]",,,,,,,"[""A1"",""C3""]",
6,田町。,"[""田町""]",,,,,,,,
7,上田。,,,,,"[""上田""]",,,,
8,和也。,,,,,,"[""和也""]",,,
9,翼。,,,,,,"[""翼""]",,,
10,井上。,,,,,"[""井上""]",,,,
11,N001。,,,,,,,"[""N001""]",,
12,佐藤 健太。,,,,,"[""佐藤""]","[""健太""]",,,
13,小林 一郎。,,,,,"[""小林""]","[""一郎""]",,,
14,渡辺さんという社員の社員番号はM9です。,,,,,"[""渡辺""]",,"[""M9""]",,
15,名前が大輔で、社員番号がN1001からN1009の間の社員を探しています。,,,,,,"[""大輔""]",,"[""N1001"", ""N1009""]",
16,現在勤務中で、フルタイムの形態で働いている従業員を探してください。,,,,"[""正社員""]",,,,,"[""在籍""]"
17,以下の人物についての勤務状況を確認してください：佐藤太郎、鈴木花子、高橋一郎、田中美咲、伊藤健太、渡辺優子、山本翔、中村真由美、小林直樹、加藤愛、吉田大輔、山田さくら、佐々木誠、斉藤奈々、松本悠。,,,,,"[""佐藤"", ""鈴木"", ""高橋"", ""田中"", ""伊藤"", ""渡辺"", ""山本"", ""中村"", ""小林"", ""加藤"", ""吉田"", ""山田"", ""佐々木"", ""斉藤"", ""松本""]","[""太郎"", ""花子"", ""一郎"", ""美咲"", ""健太"", ""優子"", ""翔"", ""真由美"", ""直樹"", ""愛"", ""大輔"", ""さくら"", ""誠"", ""奈々"", ""悠""]",,,
18,田中太郎A12345。,,,,,"[""田中""]","[""太郎""]","[""A12345""]",,
19,Suzuki Ken 123-B,,,,,,"[""Suzuki""]","[""Ken""]","[""123-B""]",
20,太郎 田中 社員番号: 55789,,,,,"[""田中""]","[""太郎""]","[""55789""]",,
21,佐藤です。番号は0099です。,,,,,"[""佐藤""]",,"[""0099""]",,
22,あ、えっと僕？タカハシ。番号、たしか8832だったかな。,,,,,"[""タカハシ""]",,"[""8832""]",,
23,社員山田太郎の社員番号はIN010 です。,,,,,"[""山田""]","[""太郎""]","[""IN010""]",,
24,社員番号が OF10040 以上の社員、佐藤健 または 木村花 を探してください。,,,,,"[""佐藤"", ""木村""]","[""健"", ""花""]",,"[""OF10040"", ""-1""]",
