No,prompt,group,name_or_number,contract_arr,group_hash,status,is_chargeable,joined_at_from,joined_at_to,retired_at_from,retired_at_to
41,使用人兼務役員または契約社員、パートの社員はいますか？,,,使用人兼務役員,,,,,,,
42,業務委託 として働いている従業員を表示してください。,,,業務委託,,,,,,,
43,正社員の社員を探しています。,,,正社員,,,,,,,
44,派遣社員またはパート、業務委託 の社員はいますか？,,,派遣社員,,,,,,,
45,役員として働いている従業員を表示してください。,,,役員,,,,,,,
46,EID2048の社員番号を持ち、パートとして働いている従業員。,,EID2048,パート,,,,,,,
47,ID1001の社員番号を持ち、使用人兼務役員として働いている従業員。,,ID1001,使用人兼務役員,,,,,,,
48,田中一郎という名前の派遣社員社員を探しています。,,田中一郎,派遣社員,,,,,,,
49,ID8888の社員番号を持ち、嘱託社員として働いている従業員。,,ID8888,嘱託社員,,,,,,,
50,吉田優子という社員で、業務委託 または正社員の契約形態の方を教えてください。,,吉田優子,業務委託,,,,,,,
51,契約社員の契約形態で働いている従業員を教えてください。,,,契約社員,,,,,,,
52,役員の契約形態で働く従業員を表示してください。,,,役員,,,,,,,
53,使用人兼務役員の契約形態で働く従業員を表示してください。,,,使用人兼務役員,,,,,,,
54,正社員の契約形態で働く従業員を表示してください。,,,正社員,,,,,,,
55,契約社員の契約形態で働く従業員を表示してください。,,,契約社員,,,,,,,
56,嘱託社員という契約形態の従業員を検索したい。,,,嘱託社員,,,,,,,
57,社員の中でパートとして働く人を教えてください。,,,パート,,,,,,,
58,アルバイトという職種の社員はいますか？,,,アルバイト,,,,,,,
59,派遣社員の契約社員について知りたいです。,,,派遣社員,,,,,,,
60,現在その他として在籍中の従業員はいますか？,,,その他,,在籍中,,,,,
61,契約タイプが業務委託 のスタッフを調べています。,,,業務委託,,,,,,,
62,ID8888またはID1001の社員番号を持ち、アルバイトの契約形態の社員。,,ID8888 ID1001,アルバイト,,,,,,,
63,山田花子という名前で、嘱託社員の契約形態を持つ従業員。,,山田花子,嘱託社員,,,,,,,
64,アルバイトまたは正社員の契約形態を持つ社員を表示してください。,,,アルバイト,,,,,,,
65,XYZ789またはABC123の社員番号を持ち、派遣社員の契約形態の社員。,,XYZ789 ABC123,派遣社員,,,,,,,
66,氏名が加藤理沙、IDがXYZ789、契約形態が契約社員、アルバイトの従業員を探しています。,,加藤理沙 XYZ789,契約社員,,,,,,
67,ID8888の社員番号で、パートとして働いている人を教えてください。,,ID8888,パート,,,,,,,
68,加藤理沙という名前で、使用人兼務役員の契約形態の社員を探しています。,,加藤理沙,使用人兼務役員,,,,,,,
69,田中一郎と吉田優子という名前の社員で、アルバイトの契約タイプを持つ方。,,田中一郎 吉田優子,アルバイト,,,,,,,
70,業務委託 または嘱託社員の契約形態を持ち、IDがXYZ789の従業員を探しています。,,XYZ789,業務委託,,,,,,,
71,正社員または契約社員の契約形態を持つ社員を表示してください。,,,正社員,,,,,,,
