No,prompt,group,name_or_number,contract_arr,group_hash,status,is_chargeable,joined_at_from,joined_at_to,retired_at_from,retired_at_to
130,請求対象の従業員をすべて教えてください。,,,,,,対象,,,,
131,プラン対象の従業員一覧を表示してください。,,,,,,対象,,,,
132,SmartHRで対象の従業員を確認したいです。,,,,,,対象,,,,
133,請求対象の従業員のみを抽出してください。,,,,,,対象,,,,
134,対象外の従業員をすべて教えてください。,,,,,,対象外,,,,
135,プラン対象外の従業員を抽出してください。,,,,,,対象外,,,,
136,対象扱いになっている従業員の情報を教えてください。,,,,,,対象,,,,
137,今月の課金対象となる従業員を確認したいです。,,,,,,対象,,,,
138,正社員で対象の従業員一覧をください。,,,正社員,,,対象,,,,
139,プラン対象外の従業員一覧をCSVで出力できますか？,,,,,,対象外,,,,
140,今のところ課金対象外に設定されている社員は誰ですか？,,,,,,対象外,,,,
141,Group Aに属している嘱託社員で、課金対象外の退職済従業員を教えてください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,嘱託社員,Group A,退職済,対象外,,,,
142,佐藤という名前の従業員で、課金対象になっている人を調べてください。,,佐藤,,,,対象,,,,
143,派遣社員の中で、課金対象外かつ退職予定の従業員をすべて教えてください。,,,派遣社員,,退職予定,対象外,,,,
144,従業員番号12345の人が課金対象かどうかを確認してください。,,12345,,,,対象,,,,
145,請求対象の従業員を一覧で表示してください。,,,,,,対象,,,,
146,プラン対象の従業員だけを抽出してください。,,,,,,対象,,,,
147,プランに含まれる従業員を一覧で出してください。,,,,,,対象,,,,
148,契約プランの対象社員一覧を表示してください。,,,,,,対象,,,,
149,対象外となっている嘱託社員の一覧を表示してください。,,,嘱託社員,,,対象外,,,,
150,課金対象外の従業員で、IT部に所属している正社員を表示してください。,"[""IT部"", ""総務部"", ""Gao Blue""]",,正社員,IT部,,対象外,,,,
