No,prompt,group,name_or_number,contract_arr,group_hash,status,is_chargeable,joined_at_from,joined_at_to,retired_at_from,retired_at_to
101,現在在籍中の従業員は誰ですか？,,,,,在籍中,,,,,
102,入社予定の従業員はいますか？,,,,,入社予定,,,,,
103,退職予定の従業員は誰ですか？,,,,,退職予定,,,,,
104,退職済の従業員を一覧で出してください。,,,,,退職済,,,,,
105,在籍中の正社員を確認したいです。,,,正社員,,在籍中,,,,,
106,営業部の在籍中のスタッフを教えてください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""営業部"", ""Gao Blue""]",,,営業部,在籍中,,,,,
107,田中という在籍中の従業員はいますか？,,田中,,,在籍中,,,,,
108,技術開発部で在籍中のアルバイトを探しています。,"[""従業員500名環境"", ""技術開発部"", ""Group B"", ""営業部"", ""Gao Blue""]",,アルバイト,技術開発部,在籍中,,,,,
109,鈴木さんは現在在籍中の契約社員ですか？,,鈴木,契約社員,,在籍中,,,,,
110,業務委託として今後入社予定の従業員を教えてください。,,,業務委託,,入社予定,,,,,
111,来月退職予定の契約社員を確認したいです。,,,契約社員,,退職予定,,,,,
112,営業推進部で退職予定の正社員はいますか？,"[""従業員500名環境"", ""Group A"", ""Group B"", ""営業部"", ""営業推進部""]",,正社員,営業推進部,退職予定,,,,,
113,木村という名前で退職予定のアルバイトは誰ですか？,,木村,アルバイト,,退職予定,,,,,
114,退職予定の役員一覧をください。,,,役員,,退職予定,,,,,
115,佐々木という使用人兼務役員で退職予定の方を確認したいです。,,佐々木,使用人兼務役員,,退職予定,,,,,
116,退職済のアルバイトを確認したいです。,,,アルバイト,,退職済,,,,,
117,総務部に以前在籍し、退職済の正社員を教えてください。,"[""総務部"", ""Group A"", ""Group B"", ""営業部"", ""Gao Blue""]",,正社員,総務部,退職済,,,,,
118,教育研修部で退職済のパート従業員を抽出してください。,"[""教育研修部"", ""Group A"", ""Group B"", ""営業部"", ""Gao Blue""]",,パート,教育研修部,退職済,,,,,
119,派遣社員で退職済の田村さんを確認してください。,,田村,派遣社員,,退職済,,,,,
120,在籍中または入社予定の従業員をすべて表示してください。,,,,,在籍中,,,,,
121,退職予定および退職済のスタッフを確認したいです。,,,,,退職予定,,,,,
122,嘱託社員で既に退職済または退職予定の従業員一覧をください。,,,嘱託社員,,退職予定,,,,,
123,退職済、退職予定、または入社予定の従業員は誰ですか？,,,,,退職済,,,,,
124,山田さん、佐藤さん、または田中さんで、正社員か契約社員として在籍中または退職予定の方を、営業部と経理部の中から探してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""営業部"", ""営業部""]",山田 佐藤 田中,正社員,営業部,在籍中,,,,,
125,鈴木さんまたは佐々木さんで、嘱託社員と業務委託のどちらかに該当し、商品企画部またはサポート課に属し、退職予定か退職済の方を抽出してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""商品企画部"", ""Gao Blue""]",鈴木 佐々木,嘱託社員,商品企画部,退職予定,,,,
126,佐藤さん、山本さん、それと伊藤さんで、使用人兼務役員・契約社員・派遣社員のいずれか、かつ情報システム課またはコールセンター部門に属し、全ての状態（在籍中、入社予定、退職予定、退職済）を対象に検索してください。,"[""従業員500名環境"", ""Group A"", ""情報システム課"", ""営業部"", ""Gao Blue""]",佐藤 山本 伊藤,使用人兼務役員,情報システム課,在籍中,,,,,
127,退職済、退職予定、または入社予定の従業員は誰ですか？,,,,,退職済,,,,,
128,退職済、退職予定、または入社予定の従業員は誰ですか？,,,,,退職済,,,,,
129,退職済、退職予定、または入社予定の従業員は誰ですか？,,,,,退職済,,,,,
