No,prompt,group,name_or_number,contract_arr,group_hash,status,is_chargeable,joined_at_from,joined_at_to,retired_at_from,retired_at_to
1,佐藤健一という名前の従業員。,,佐藤健一,,,,,,,,
2,IDがN011の従業員。,,N011,,,,,,,,
3,名前が山田花子の従業員を探しています。,,山田花子,,,,,,,,
4,従業員名が田中一郎である人。,,田中一郎,,,,,,,,
5,木村という名前の従業員。,,木村,,,,,,,,
6,名前に美咲を含む従業員を表示してください。,,美咲,,,,,,,,
7,氏名がEID2048で登録されている従業員。,,EID2048,,,,,,,,
8,山本翔太という従業員は今在籍していますか？,,山本翔太,,,在籍中,,,,,
9,健一という名前を持つ退職済みの従業員。,,健一,,,退職済,,,,,
10,IDがE1001の従業員情報をください。,,E1001,,,,,,,,
11,小林理沙という従業員を探しています。,,小林理沙,,,,,,,,
12,ID1009というIDを持つ従業員。,,ID1009,,,,,,,,
13,従業員名が伊藤真理である人。,,伊藤真理,,,,,,,,
14,氏名がN01008で登録されている従業員。,,N01008,,,,,,,,
15,名前が藤本美咲の従業員。,,藤本美咲,,,,,,,,
16,IDがID1001の従業員。,,ID1001,,,,,,,,
17,小林理沙という従業員を探しています。,,小林理沙,,,,,,,,
18,ID-3021というIDを持つ従業員。,,ID-3021,,,,,,,,
19,XY5009という識別子を持つ従業員。,,XY5009,,,,,,,,
20,加藤理沙という社員はいますか？,,加藤理沙,,,,,,,,
21,山田-花子というIDを持つ従業員。,,山田-花子,,,,,,,,
22,田中一郎という名前の従業員を探しています。,,田中一郎,,,,,,,,
23,名前が田中理沙、IDがEID7890の従業員を探しています。,,田中理沙 EID7890,,,,,,,,
24,田中理沙という名前とEID7890というIDの従業員を表示してください。,,田中理沙 EID7890,,,,,,,,
25,氏名が加藤理沙で、社員番号がID5009の社員を教えてください。,,加藤理沙 ID5009,,,,,,,,
26,佐藤健一または山田花子という名前の従業員を探しています。,,佐藤健一 山田花子,,,,,,,,
27,名前が田中一郎か高橋太郎の社員はいますか？,,田中一郎 高橋太郎,,,,,,,,
28,従業員名が中村翔太、あるいは小林理沙である人。,,中村翔太 小林理沙,,,,,,,,
29,吉田優子と加藤理沙という名前の社員情報を表示してください。,,吉田優子 加藤理沙,,,,,,,,
30,IDがEID1234またはEID5678の従業員。,,EID1234 EID5678,,,,,,,,
31,社員番号がID1001かID2002の社員を検索しています。,,ID1001 ID2002,,,,,,,,
32,EID777とEID888という識別子を持つ従業員を表示してください。,,EID777 EID888,,,,,,,,
33,IDがABC123、またはXYZ456の社員はいますか？,,ABC123 XYZ456,,,,,,,,
34,名前が高橋太郎か山田花子、またはIDがEID5678の社員はいますか？,,高橋太郎 山田花子 EID5678,,,,,,,,
35,名前が山田花子か加藤理沙、またはIDがXYZ456の社員はいますか？,,山田花子 加藤理沙 XYZ456,,,,,,,,
36,EID888、ABC123、XYZ456という識別子を持つ社員情報を表示してください。,,EID888 ABC123 XYZ456,,,,,,,,
37,小林理沙、藤本美咲、佐藤健一という名前の社員を検索してください。,,小林理沙 藤本美咲 佐藤健一,,,,,,,,
38,名前が田中一郎、加藤理沙または佐藤健一の社員はいますか？,,田中一郎 加藤理沙 佐藤健一,,,,,,,,
39,氏名が藤本美咲、高橋太郎、あるいは小林理沙という従業員情報を表示してください。,,藤本美咲 高橋太郎 小林理沙,,,,,,,,
40,高橋太郎と田中一郎という名前、あるいはIDがEID777の社員情報を表示してください。,,高橋太郎 田中一郎 EID777,,,,,,,,
41,使用人兼務役員または契約社員、パートの社員はいますか？,,,使用人兼務役員,,,,,,,
42,業務委託 として働いている従業員を表示してください。,,,業務委託,,,,,,,
43,正社員の社員を探しています。,,,正社員,,,,,,,
