No,prompt,group_id_list,authority_type_list,name_or_number,login_address,group_id,authority_type,connected,status,joined_at_from,joined_at_to,retired_at_from,retired_at_to
1,SmartHRから連携している従業員を探して,,,,,,,SmartHR,,,,,
2,クラウド給与から連携している社員を表示して,,,,,,,クラウド給与,,,,,
3,連携なしの従業員の情報を教えて,,,,,,,連携なし,,,,,
4,SmartHRから連携している社員データを見せて,,,,,,,SmartHR,,,,,
5,クラウド給与から連携している従業員を確認したい,,,,,,,クラウド給与,,,,,
6,連携なしの社員の一覧を教えて,,,,,,,連携なし,,,,,
7,SmartHRから連携している従業員データを表示して,,,,,,,SmartHR,,,,,
8,クラウド給与から連携している社員を探して,,,,,,,クラウド給与,,,,,
9,連携なしの従業員の詳細を確認したい,,,,,,,連携なし,,,,,
10,SmartHRから連携している社員の情報を教えて,,,,,,,SmartHR,,,,,
11,SmartHRから連携している全権管理者の一覧を表示して,,"[""全権管理者""]",,,,全権管理者,SmartHR,,,,,
12,クラウド給与から連携している一般従業員の情報を教えて,,"[""一般従業員""]",,,,一般従業員,クラウド給与,,,,,
13,連携なしの一般管理者のデータを確認したい,,"[""一般管理者""]",,,,一般管理者,連携なし,,,,,
14,SmartHRから連携している全権管理者で2024年1月に入社した従業員のデータを確認したい,,"[""全権管理者""]",,,,全権管理者,SmartHR,,2024/01/01,2024/01/31,,
15,クラウド給与から連携している一般従業員で2024年2月に退職予定の情報を探して,,"[""一般従業員""]",,,,一般従業員,クラウド給与,退職予定,,,2024/02/01,2024/02/29
16,連携なしの一般管理者で2024年3月に入社予定の従業員の詳細を教えて,,"[""一般管理者""]",,,,一般管理者,連携なし,入社予定,2024/03/01,2024/03/31,,,
17,SmartHRから連携している全権管理者で在籍中の一覧を見せて,,"[""全権管理者""]",,,,全権管理者,SmartHR,在籍中,,,,,
18,クラウド給与から連携している一般従業員で退職済みの情報を教えて,,"[""一般従業員""]",,,,一般従業員,クラウド給与,退職済み,,,,
19,連携なしの一般管理者で2024年4月に入社した従業員のデータを確認したい,,"[""一般管理者""]",,,,一般管理者,連携なし,,2024/04/01,2024/04/30,,
20,SmartHRから連携している全権管理者で2024年5月に退職した従業員の一覧を表示して,,"[""全権管理者""]",,,,全権管理者,SmartHR,退職済み,,,2024/05/01,2024/05/31
