No,prompt,group_id_list,authority_type_list,name_or_number,login_address,group_id,authority_type,connected,status,joined_at_from,joined_at_to,retired_at_from,retired_at_to
1,株式会社の従業員一覧を表示して,"[""株式会社"",""大阪支店"",""東京本社"",""名古屋支店""]",,,,株式会社,,,,,,,
2,大阪支店の社員情報を教えて,"[""株式会社"",""大阪支店"",""東京本社"",""名古屋支店""]",,,,大阪支店,,,,,,,
3,東京本社のメンバーを確認したい,"[""株式会社"",""大阪支店"",""東京本社"",""名古屋支店""]",,,,東京本社,,,,,,,
4,名古屋支店の従業員データを見せて,"[""株式会社"",""大阪支店"",""東京本社"",""名古屋支店""]",,,,名古屋支店,,,,,,,
5,福岡営業所の社員一覧を探して,"[""福岡営業所"",""札幌支店"",""仙台営業所"",""広島支店""]",,,,福岡営業所,,,,,,,
6,札幌支店のメンバー情報を表示して,"[""福岡営業所"",""札幌支店"",""仙台営業所"",""広島支店""]",,,,札幌支店,,,,,,,
7,仙台営業所の従業員を教えて,"[""福岡営業所"",""札幌支店"",""仙台営業所"",""広島支店""]",,,,仙台営業所,,,,,,,
8,広島支店の社員データを確認したい,"[""福岡営業所"",""札幌支店"",""仙台営業所"",""広島支店""]",,,,広島支店,,,,,,,
9,株式会社Deportare Partnersのメンバー一覧を見せて,"[""株式会社Deportare Partners"",""株式会社Tech Solutions"",""株式会社Global Innovation"",""株式会社Future Systems""]",,,,株式会社Deportare Partners,,,,,,,
10,株式会社Tech Solutionsの従業員情報を探して,"[""株式会社Deportare Partners"",""株式会社Tech Solutions"",""株式会社Global Innovation"",""株式会社Future Systems""]",,,,株式会社Tech Solutions,,,,,,,
11,東京本社の全権管理者の一覧を表示して,"[""株式会社"",""大阪支店"",""東京本社"",""名古屋支店""]","[""一般従業員"",""全権管理者"",""一般管理者""]",,,東京本社,全権管理者,,,,,
12,大阪支店でSmartHRから連携している従業員を教えて,"[""株式会社"",""大阪支店"",""東京本社"",""名古屋支店""]",,,,大阪支店,,SmartHR,,,,,
13,名古屋支店の在籍中の社員データを確認したい,"[""株式会社"",""大阪支店"",""東京本社"",""名古屋支店""]",,,,名古屋支店,,,在籍中,,,,
14,福岡営業所の2024年1月に入社したメンバーを探して,"[""福岡営業所"",""札幌支店"",""仙台営業所"",""広島支店""]",,,,福岡営業所,,,,2024-01-01,2024-01-31,,
15,札幌支店の一般管理者で退職予定の一覧を見せて,"[""福岡営業所"",""札幌支店"",""仙台営業所"",""広島支店""]","[""一般従業員"",""全権管理者"",""一般管理者""]",,,札幌支店,一般管理者,,退職予定,,,,
16,仙台営業所でクラウド給与から連携し、2024年2月に退職する社員を教えて,"[""福岡営業所"",""札幌支店"",""仙台営業所"",""広島支店""]",,,,仙台営業所,,クラウド給与,,,,2024-02-01,2024-02-29
17,広島支店の一般従業員で入社予定の情報を表示して,"[""福岡営業所"",""札幌支店"",""仙台営業所"",""広島支店""]","[""一般従業員"",""全権管理者"",""一般管理者""]",,,広島支店,一般従業員,,入社予定,,,,
18,株式会社Deportare Partnersの全権管理者でSmartHRから連携しているメンバーを確認したい,"[""株式会社Deportare Partners"",""株式会社Tech Solutions"",""株式会社Global Innovation"",""株式会社Future Systems""]","[""全権管理者""]",,,株式会社Deportare Partners,全権管理者,SmartHR,,,,,
19,株式会社Tech Solutionsの2024年3月に入社予定の従業員データを探して,"[""株式会社Deportare Partners"",""株式会社Tech Solutions"",""株式会社Global Innovation"",""株式会社Future Systems""]",,,,株式会社Tech Solutions,,,,2024-03-01,2024-03-31,,
20,株式会社Global Innovationの一般管理者で在籍中、クラウド給与から連携している社員一覧を見せて,"[""株式会社Deportare Partners"",""株式会社Tech Solutions"",""株式会社Global Innovation"",""株式会社Future Systems""]","[""一般管理者""]",,,株式会社Global Innovation,一般管理者,クラウド給与,在籍中,,,,
