No,prompt,group_id,authority_type,specified_name_or_number,specified_login_address,encrypted_selected_group_id,selected_authority_type_option,selected_connected_with_option,selected_working_status_option,selected_joined_at_from,selected_joined_at_to,selected_retired_at_from,selected_retired_at_to
1,全権管理者の一覧を見せて,,"[""全権管理者""]",,,,全権管理者,,,,,,
2,一般従業員の情報を表示して,,"[""一般従業員"",""全権管理者""]",,,,一般従業員,,,,,,
3,一般管理者のデータを確認したい,,"[""一般管理者"",""一般従業員""]",,,,一般管理者,,,,,,
4,全権管理者の詳細を教えて,,"[""全権管理者"",""一般管理者""]",,,,全権管理者,,,,,,
5,一般従業員の一覧を見せて,,"[""一般従業員"",""一般管理者"",""全権管理者""]",,,,一般従業員,,,,,,
6,一般管理者の情報を探して,,"[""一般管理者""]",,,,一般管理者,,,,,,
7,全権管理者のデータを表示して,,"[""全権管理者"",""一般従業員""]",,,,全権管理者,,,,,,
8,一般従業員の詳細を確認したい,,"[""一般従業員"",""一般管理者""]",,,,一般従業員,,,,,,
9,一般管理者の一覧を教えて,,"[""一般管理者"",""全権管理者""]",,,,一般管理者,,,,,,
10,全権管理者の情報を検索して,,"[""全権管理者"",""一般管理者"",""一般従業員""]",,,,全権管理者,,,,,,
11,全権管理者でSmartHRから連携している従業員を表示して,,"[""全権管理者""]",,,,全権管理者,SmartHR,,,,,
12,一般従業員で退職済みの情報を教えて,,"[""一般従業員""]",,,,一般従業員,,退職済み,,,,
13,一般管理者でクラウド給与から連携している一覧を見せて,,"[""一般管理者""]",,,,一般管理者,クラウド給与,,,,,
14,全権管理者で2024年1月に入社した従業員のデータを確認したい,,"[""全権管理者""]",,,,全権管理者,,,2024-01-01,2024-01-31,,
15,一般従業員で連携なしの情報を探して,,"[""一般従業員""]",,,,一般従業員,連携なし,,,,,
16,一般管理者で2024年2月に退職した従業員の詳細を教えて,,"[""一般管理者""]",,,,一般管理者,,退職済み,,,2024-02-01,2024-02-29
17,全権管理者でSmartHRから連携し、2024年3月に入社した従業員を表示して,,"[""全権管理者""]",,,,全権管理者,SmartHR,,2024-03-01,2024-03-31,,
18,一般従業員でクラウド給与から連携し、退職済みの一覧を見せて,,"[""一般従業員""]",,,,一般従業員,クラウド給与,退職済み,,,,
19,一般管理者で連携なしで2024年4月に入社した従業員の情報を教えて,,"[""一般管理者""]",,,,一般管理者,連携なし,,2024-04-01,2024-04-30,,
20,全権管理者でSmartHRから連携し、2024年5月に退職した従業員のデータを確認したい,,"[""全権管理者""]",,,,全権管理者,SmartHR,退職済み,,,2024-05-01,2024-05-31
